Date,Open,High,Low,Close,Adj Close,,,,,
8/22/2014,0.603059926,0.602620193,0.603679912,0.603139947,0.603139947,1.65821,1.65942,1.656507,1.65799,1.65799
8/25/2014,0.604229972,0.602449923,0.604250053,0.604159882,0.604159882,1.654999,1.659889,1.654944,1.655191,1.655191
8/26/2014,0.60360995,0.602550113,0.60360995,0.603490104,0.603490104,1.656699,1.659613,1.656699,1.657028,1.657028
8/27/2014,0.604309938,0.60223985,0.604609909,0.604309938,0.604309938,1.65478,1.660468,1.653959,1.65478,1.65478
8/28/2014,0.603329898,0.601899837,0.603409991,0.603269843,0.603269843,1.657468,1.661406,1.657248,1.657633,1.657633
8/29/2014,0.602769848,0.601940053,0.603130125,0.602789832,0.602789832,1.659008,1.661295,1.658017,1.658953,1.658953
9/1/2014,0.602689926,0.600769826,0.602740056,0.602680118,0.602680118,1.659228,1.664531,1.65909,1.659255,1.659255
9/2/2014,0.601829924,0.601829924,0.606300186,0.601829924,0.601829924,1.661599,1.661599,1.649348,1.661599,1.661599
9/3/2014,0.607189979,0.606130036,0.608100137,0.607209889,0.607209889,1.646931,1.649811,1.644466,1.646877,1.646877
9/4/2014,0.607489864,0.607279951,0.61174988,0.607459973,0.607459973,1.646118,1.646687,1.634655,1.646199,1.646199
9/5/2014,0.613699868,0.611999973,0.614029971,0.61371983,0.61371983,1.629461,1.633987,1.628585,1.629408,1.629408
9/8/2014,0.616620132,0.615950152,0.620850006,0.616809921,0.616809921,1.621744,1.623508,1.610695,1.621245,1.621245
9/9/2014,0.621200196,0.619229938,0.622360027,0.621309808,0.621309808,1.609787,1.614909,1.606787,1.609503,1.609503
9/10/2014,0.620160038,0.618739899,0.622860086,0.620170038,0.620170038,1.612487,1.616188,1.605497,1.612461,1.612461
9/11/2014,0.617139951,0.614760019,0.617780081,0.61725004,0.61725004,1.620378,1.626651,1.618699,1.620089,1.620089
9/12/2014,0.615369847,0.614829944,0.616579832,0.615310021,0.615310021,1.625039,1.626466,1.62185,1.625197,1.625197
9/15/2014,0.615070078,0.614670085,0.616139908,0.615079914,0.615079914,1.625831,1.626889,1.623008,1.625805,1.625805
9/16/2014,0.616229893,0.613650157,0.618579914,0.616180151,0.616180151,1.622771,1.629593,1.616606,1.622902,1.622902
9/17/2014,0.614760019,0.611360172,0.615160129,0.61478005,0.61478005,1.626651,1.635697,1.625593,1.626598,1.626598
9/18/2014,0.614630039,0.609459915,0.615180186,0.614699934,0.614699934,1.626995,1.640797,1.62554,1.62681,1.62681
9/19/2014,0.608640134,0.60514006,0.613309929,0.608380194,0.608380194,1.643007,1.65251,1.630497,1.643709,1.643709
9/22/2014,0.612989994,0.610989999,0.612989994,0.612749979,0.612749979,1.631348,1.636688,1.631348,1.631987,1.631987
9/23/2014,0.610869818,0.609269796,0.613109883,0.610800044,0.610800044,1.63701,1.641309,1.631029,1.637197,1.637197
9/24/2014,0.609930151,0.609200017,0.612420125,0.609990051,0.609990051,1.639532,1.641497,1.632866,1.639371,1.639371
